Record Length,Analog:700
Sample Interval,CH1:0.0000010000000 CH2:0.0000010000000
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:0.50 CH2:0.50,,,
Vertical Offset,CH1:0.48000 CH2:0.49000,,,
Horizontal Units,us,,,
Horizontal Scale,500.0000000000,,,
Model Number,SDS1202X-E,,,
Serial Number,SDS1ECDD2R8248,,,
Software Version,1.3.26,,,
Source,CH1,CH2
Second,Volt,Volt
 0.00644800000,-1.54000,-1.39000
 0.00644900000,-1.52000,-1.37000
 0.00645000000,-1.54000,-1.39000
 0.00645100000,-1.54000,-1.39000
 0.00645200000,-1.52000,-1.37000
 0.00645300000,-1.52000,-1.37000
 0.00645400000,-1.54000,-1.39000
 0.00645500000,-1.54000,-1.39000
 0.00645600000,-1.54000,-1.39000
 0.00645700000,-1.54000,-1.39000
 0.00645800000,-1.54000,-1.37000
 0.00645900000,-1.52000,-1.37000
 0.00646000000,-1.52000,-1.37000
 0.00646100000,-1.54000,-1.39000
 0.00646200000,-1.54000,-1.39000
 0.00646300000,-1.54000,-1.37000
 0.00646400000,-1.54000,-1.37000
 0.00646500000,-1.52000,-1.37000
 0.00646600000,-1.52000,-1.39000
 0.00646700000,-1.54000,-1.37000
 0.00646800000,-1.52000,-1.37000
 0.00646900000,-1.54000,-1.35000
 0.00647000000,-1.54000,-1.35000
 0.00647100000,-1.52000,-1.39000
 0.00647200000,-1.52000,-1.39000
 0.00647300000,-1.54000,-1.37000
 0.00647400000,-1.52000,-1.37000
 0.00647500000,-1.52000,-1.39000
 0.00647600000,-1.52000,-1.39000
 0.00647700000,-1.54000,-1.37000
 0.00647800000,-1.54000,-1.39000
 0.00647900000,-1.54000,-1.39000
 0.00648000000,-1.54000,-1.35000
 0.00648100000,-1.54000,-1.39000
 0.00648200000,-1.54000,-1.37000
 0.00648300000,-1.52000,-1.39000
 0.00648400000,-1.54000,-1.37000
 0.00648500000,-1.52000,-1.39000
 0.00648600000,-1.54000,-1.39000
 0.00648700000,-1.52000,-1.39000
 0.00648800000,-1.52000,-1.37000
 0.00648900000,-1.52000,-1.37000
 0.00649000000,-1.54000,-1.37000
 0.00649100000,-1.54000,-1.39000
 0.00649200000,-1.54000,-1.39000
 0.00649300000,-1.52000,-1.39000
 0.00649400000,-1.54000,-1.37000
 0.00649500000,-1.54000,-1.37000
 0.00649600000,-1.54000,-1.37000
 0.00649700000,-1.54000,-1.39000
 0.00649800000,-1.54000,-1.37000
 0.00649900000,-1.54000,-1.39000
 0.00650000000,-1.54000,-1.39000
 0.00650100000,-1.54000,-1.37000
 0.00650200000,-1.54000,-1.39000
 0.00650300000,-1.54000,-1.37000
 0.00650400000,-1.52000,-1.37000
 0.00650500000,-1.54000,-1.37000
 0.00650600000,-1.54000,-1.39000
 0.00650700000,-1.52000,-1.37000
 0.00650800000,-1.52000,-1.37000
 0.00650900000,-1.54000,-1.39000
 0.00651000000,-1.54000,-1.37000
 0.00651100000,-1.54000,-1.37000
 0.00651200000,-1.54000,-1.37000
 0.00651300000,-1.54000,-1.37000
 0.00651400000,-1.54000,-1.37000
